mjd,val
60619.00738134,33203715.9094028
60619.00739292,33203743.1659003
60619.0074045,33203726.6515312
60619.00741608,33203714.8541956
60619.00742766,33203734.8088188
60619.00743924,33203727.7013388
60619.00745081,33203742.4585218
60619.00746239,33203729.0769186
60619.00747396,33203724.3748331
60619.00748555,33203751.9807577
60619.00749712,33203731.7510043
60619.0075087,33203753.5899801
60619.00752028,33203738.977726
60619.00753186,33203741.0004396
60619.00754343,33203750.8673849
60619.00755502,33203725.0151625
60619.00756659,33203729.501606
60619.00757817,33203729.2875604
60619.00758975,33203740.0480929
60619.00760133,33203719.157608
60619.00761291,33203729.211319
60619.00762449,33203714.8200703
60619.00763606,33203727.7567234
60619.00764764,33203712.7601747
60619.00765922,33203737.3570681
60619.0076708,33203721.8407631
60619.00768238,33203724.3561267
60619.00769395,33203752.181902
60619.00770553,33203705.8440542
60619.00771711,33203759.0101252
60619.00772868,33203734.7436666
60619.00774027,33203738.9851427
60619.00775184,33203738.9194679
60619.00776342,33203728.5458651
60619.007775,33203744.662734
60619.00778658,33203720.4183627
60619.00779816,33203756.453927
60619.00780974,33203717.8946915
60619.00782131,33203718.6110944
60619.00783289,33203754.0924359
60619.00784447,33203731.0632572
60619.00785605,33203718.8807049
60619.00786763,33203714.1141462
60619.0078792,33203757.1245108
60619.00789079,33203717.164071
60619.00790236,33203719.3619004
60619.00791393,33203726.4602194
60619.00792552,33203748.8156633
60619.0079371,33203738.443963
60619.00794867,33203745.8787232
60619.00796025,33203749.9517288
60619.00797183,33203728.4533358
60619.00798341,33203714.7555685
60619.00799499,33203772.0949135
60619.00800657,33203724.2519312
60619.00801815,33203728.6964988
60619.00802972,33203746.4387322
60619.0080413,33203745.0594787
60619.00805288,33203714.1075144
60619.00806445,33203746.8480988
60619.00807604,33203722.8980617
60619.00808762,33203742.9524307
60619.00809919,33203728.401434
60619.00811077,33203728.0143261
60619.00812235,33203741.3722257
60619.00813392,33203744.0419016
60619.00814551,33203734.2651825
60619.00815708,33203743.1246662
60619.00816866,33203757.2658663
60619.00818024,33203735.7454338
60619.00819182,33203712.8742152
60619.0082034,33203753.1567211
60619.00821498,33203737.6550836
60619.00822656,33203743.205946
60619.00823814,33203715.5416336
60619.00824971,33203755.5749464
60619.00826129,33203717.2679234
60619.00827287,33203726.1779203
60619.00828444,33203729.913743
60619.00829602,33203754.6631022
60619.0083076,33203733.3007784
60619.00831918,33203722.8132991
60619.00833076,33203752.1694699
60619.00834234,33203730.1074381
60619.00835391,33203769.5575637
60619.0083655,33203732.5061226
60619.00837707,33203712.7603531
60619.00838866,33203744.8320217
60619.00840023,33203754.1900807
60619.00841181,33203731.7265157
60619.00842339,33203729.824832
60619.00843497,33203723.0020723
60619.00844655,33203754.4205714
60619.00845812,33203744.1940489
60619.0084697,33203738.819045
60619.00848128,33203735.0115004
60619.00849286,33203743.0002651
60619.00850443,33203724.0155287
60619.00851602,33203745.5963678
60619.00852759,33203736.2765093
60619.00853917,33203745.1792631
60619.00855075,33203708.3762922
60619.00856233,33203743.5997363
60619.0085739,33203728.1090498
60619.00858549,33203735.1462516
60619.00859706,33203717.6484404
60619.00860864,33203759.3770895
60619.00862022,33203748.3385887
60619.0086318,33203717.4196949
60619.00864338,33203766.3343163
60619.00865495,33203751.4491777
60619.00866653,33203749.3017559
60619.00867811,33203724.9033756
60619.00868968,33203738.4812107
60619.00870127,33203767.1779795
60619.00871284,33203720.9363337
60619.00872442,33203732.9406223
60619.008736,33203723.4701624
60619.00874758,33203729.6730461
60619.00875915,33203717.0467281
60619.00877073,33203749.3390007
60619.00878231,33203726.4799405
60619.00879389,33203738.2091083
60619.00880547,33203740.5064249
60619.00881705,33203718.7283459
60619.00882863,33203741.4012756
60619.0088402,33203735.9493399
60619.00885178,33203742.9471464
60619.00886336,33203738.7668171
60619.00887493,33203720.6120911
60619.00888652,33203731.5514183
60619.0088981,33203748.7976322
60619.00890967,33203707.2680444
60619.00892125,33203738.2099581
60619.00893283,33203748.4176445
60619.0089444,33203727.5806141
60619.00895599,33203731.4691887
60619.00896757,33203706.7624312
60619.00897915,33203743.3725948
60619.00899073,33203742.4447079
60619.0090023,33203723.9688777
60619.00901388,33203734.7164498
60619.00902546,33203747.1678037
60619.00903704,33203733.2319031
60619.00904861,33203720.0581045
60619.00906019,33203752.108861
60619.00907177,33203722.2065821
60619.00908335,33203734.6791935
60619.00909492,33203753.8223724
60619.0091065,33203714.0072708
60619.00911808,33203752.0668211
60619.00912965,33203740.5910616
60619.00914124,33203733.0955525
60619.00915281,33203741.4389038
60619.00916439,33203737.2143306
60619.00917597,33203734.1565485
60619.00918755,33203752.9661046
60619.00919913,33203705.3917827
60619.00921071,33203745.3563223
60619.00922229,33203727.4616432
60619.00923387,33203744.5034285
60619.00924544,33203716.213088
60619.00925702,33203729.7348719
60619.0092686,33203739.2750959
60619.00928017,33203754.3717737
60619.00929176,33203747.2370015
60619.00930334,33203725.2030391
60619.00931491,33203720.3976193
60619.00932649,33203747.817358
60619.00933807,33203732.5342226
60619.00934964,33203738.289299
60619.00936123,33203726.5283413
60619.0093728,33203743.107831
60619.00938438,33203732.7534695
60619.00939596,33203742.4715309
60619.00940754,33203728.1353187
60619.00941912,33203724.7224703
60619.00943069,33203741.0233565
60619.00944227,33203724.4716148
60619.00945385,33203753.9214859
60619.00946542,33203731.7910404
60619.00947701,33203719.4675884
60619.00948858,33203735.5335579
60619.00950016,33203709.4074879
